,ext_debt_stocks,inflation_rate,unemployment_rate,mortality_by_1000,resources_rent_procent_of_GDP,military_expenditure_procent_of_GDP,arms_imports,democracy_index,corruption_index,GPD_per_capita,fertility_rate,energy_access_procent_of_population,population,unseat_current_state_head_attempt,trade_openness,state_control_over_territory,political_violence
0,9064267095.5,11.9050398185147,4.09999990463257,6.0,12.0,1.66921378312216,0.0,0.29,0.73,7.151485463904735,2.9,0.0,6.448889394146858,0.0,0.0,0.0,0.0
1,9156789203.1,-3.23338933983321,4.69,8.75,8.32073300790914,2.60603750918948,16.11809565095832,0.507,0.445,8.480603270691908,5.11,18.374855041503903,7.655125931762437,0.0,5.6,78.167,1.294
2,9156789203.1,-3.23338933983321,4.69,8.75,8.32073300790914,2.60603750918948,16.11809565095832,0.507,0.445,8.480603270691908,5.11,18.374855041503903,7.655125931762437,0.0,5.6,78.167,1.294
3,9156789203.1,-3.23338933983321,4.69,8.75,8.32073300790914,2.60603750918948,16.11809565095832,0.507,0.445,8.480603270691908,5.11,18.374855041503903,7.655125931762437,0.0,5.6,78.167,1.294
4,688207826.7,7.5,37.16,13.878,4.62753146037008,2.85192846653195,15.424948470398375,0.289,0.61,5.965382344484432,3.93,0.0,5.321266997613617,0.0,10.0,79.636,0.733
5,10897975637.2,30.1596997992844,13.6999998092651,13.13,0.179428334030044,3.51189797884574,15.60727002719233,0.183,0.886,8.60697667257225,0.0,100.0,6.768694340846084,0.0,4.2,90.6,0.558
6,10897975637.2,30.1596997992844,13.6999998092651,13.13,0.179428334030044,3.51189797884574,15.60727002719233,0.183,0.886,8.60697667257225,0.0,100.0,6.768694340846084,0.0,4.2,90.6,0.558
7,27110465347.6,-0.778430463054117,15.2799997329712,3.169,1.12311442695397,4.51419331656486,19.262247929630583,0.197,0.525,8.91886685440479,2.95,99.95882415771484,6.87246379628247,0.0,8.8,97.6,0.429
8,400057787893.1,7.6708536484588,10.2399997711182,5.125,0.256870594628335,1.81284829274449,19.89772946834072,0.6,0.58,10.164273649274849,2.1,100.0,8.98281222234415,0.0,5.1,0.0,0.0
9,400057787893.1,7.6708536484588,10.2399997711182,5.125,0.256870594628335,1.81284829274449,19.89772946834072,0.6,0.58,10.164273649274849,2.1,100.0,8.98281222234415,0.0,5.1,0.0,0.0
10,400057787893.1,7.6708536484588,10.2399997711182,5.125,0.256870594628335,1.81284829274449,19.89772946834072,0.6,0.58,10.164273649274849,2.1,100.0,8.98281222234415,0.0,5.1,0.0,0.0
11,392576050359.7,9.47899691419793,3.22000002861023,7.118,4.03195571930265,2.61816761903533,22.20305054115364,0.565,0.461,13.392455680432983,2.44,79.9000015258789,11.781378677190022,0.0,5.5,88.625,0.311
12,21460776765.5,18.0966171221351,17.4400005340576,7.541,24.8417981166866,5.45,18.968802152462054,0.069,0.757,9.583376361088797,4.82,39.82080459594727,8.246570640979899,0.0,3.1,67.0,0.545
13,208740000.0,46.8521757193597,12.2,11.6,57.2227618752201,6.09441532228387,17.926384422137584,0.105,0.799,10.26984107753611,5.29,2.6846847534179688,6.999604932612016,0.0,10.0,76.0,1.51
14,208740000.0,46.8521757193597,12.2,11.6,57.2227618752201,6.09441532228387,17.926384422137584,0.105,0.799,10.26984107753611,5.29,2.6846847534179688,6.999604932612016,0.0,10.0,76.0,1.51
15,208740000.0,46.8521757193597,12.2,11.6,57.2227618752201,6.09441532228387,17.926384422137584,0.105,0.799,10.26984107753611,5.29,2.6846847534179688,6.999604932612016,0.0,10.0,76.0,1.51
16,208740000.0,46.8521757193597,12.2,11.6,57.2227618752201,6.09441532228387,17.926384422137584,0.105,0.799,10.26984107753611,5.29,2.6846847534179688,6.999604932612016,0.0,10.0,76.0,1.51
17,208740000.0,46.8521757193597,12.2,11.6,57.2227618752201,6.09441532228387,17.926384422137584,0.105,0.799,10.26984107753611,5.29,2.6846847534179688,6.999604932612016,0.0,10.0,76.0,1.51
18,208740000.0,46.8521757193597,12.2,11.6,57.2227618752201,6.09441532228387,17.926384422137584,0.105,0.799,10.26984107753611,5.29,2.6846847534179688,6.999604932612016,0.0,10.0,76.0,1.51
19,208740000.0,46.8521757193597,12.2,11.6,57.2227618752201,6.09441532228387,17.926384422137584,0.105,0.799,10.26984107753611,5.29,2.6846847534179688,6.999604932612016,0.0,10.0,76.0,1.51
20,208740000.0,46.8521757193597,12.2,11.6,57.2227618752201,6.09441532228387,17.926384422137584,0.105,0.799,10.26984107753611,5.29,2.6846847534179688,6.999604932612016,0.0,10.0,76.0,1.51
21,208740000.0,46.8521757193597,12.2,11.6,57.2227618752201,6.09441532228387,17.926384422137584,0.105,0.799,10.26984107753611,5.29,2.6846847534179688,6.999604932612016,0.0,10.0,76.0,1.51
22,208740000.0,46.8521757193597,12.2,11.6,57.2227618752201,6.09441532228387,17.926384422137584,0.105,0.799,10.26984107753611,5.29,2.6846847534179688,6.999604932612016,0.0,10.0,76.0,1.51
23,208740000.0,46.8521757193597,12.2,11.6,57.2227618752201,6.09441532228387,17.926384422137584,0.105,0.799,10.26984107753611,5.29,2.6846847534179688,6.999604932612016,0.0,10.0,76.0,1.51
24,4000000000.0,15.5184815317562,19.39,5.479,51.5397764449761,7.26,15.89495209964411,0.063,0.833,8.970365591885445,2.47,79.96945190429688,6.457053759637783,0.0,10.0,65.912,3.122
25,4000000000.0,15.5184815317562,19.39,5.479,51.5397764449761,7.26,15.89495209964411,0.063,0.833,8.970365591885445,2.47,79.96945190429688,6.457053759637783,0.0,10.0,65.912,3.122
26,4000000000.0,15.5184815317562,19.39,5.479,51.5397764449761,7.26,15.89495209964411,0.063,0.833,8.970365591885445,2.47,79.96945190429688,6.457053759637783,0.0,10.0,65.912,3.122
27,4000000000.0,15.5184815317562,19.39,5.479,51.5397764449761,7.26,15.89495209964411,0.063,0.833,8.970365591885445,2.47,79.96945190429688,6.457053759637783,0.0,10.0,65.912,3.122
28,4000000000.0,15.5184815317562,19.39,5.479,51.5397764449761,7.26,15.89495209964411,0.063,0.833,8.970365591885445,2.47,79.96945190429688,6.457053759637783,0.0,10.0,65.912,3.122
29,4000000000.0,15.5184815317562,19.39,5.479,51.5397764449761,7.26,15.89495209964411,0.063,0.833,8.970365591885445,2.47,79.96945190429688,6.457053759637783,0.0,10.0,65.912,3.122
30,4000000000.0,15.5184815317562,19.39,5.479,51.5397764449761,7.26,15.89495209964411,0.063,0.833,8.970365591885445,2.47,79.96945190429688,6.457053759637783,0.0,10.0,65.912,3.122
31,2194580111.0,2.46375188572298,9.29,12.189,8.60697066436161,1.41728285775552,16.11809565095832,0.423,0.853,7.9427281977106095,6.61,24.030895233154297,7.344349476820456,0.0,5.1,77.231,0.297
32,2194580111.0,2.46375188572298,9.29,12.189,8.60697066436161,1.41728285775552,16.11809565095832,0.423,0.853,7.9427281977106095,6.61,24.030895233154297,7.344349476820456,0.0,5.1,77.231,0.297
33,2194580111.0,2.46375188572298,9.29,12.189,8.60697066436161,1.41728285775552,16.11809565095832,0.423,0.853,7.9427281977106095,6.61,24.030895233154297,7.344349476820456,0.0,5.1,77.231,0.297
34,2194580111.0,2.46375188572298,9.29,12.189,8.60697066436161,1.41728285775552,16.11809565095832,0.423,0.853,7.9427281977106095,6.61,24.030895233154297,7.344349476820456,0.0,5.1,77.231,0.297
35,2194580111.0,2.46375188572298,9.29,12.189,8.60697066436161,1.41728285775552,16.11809565095832,0.423,0.853,7.9427281977106095,6.61,24.030895233154297,7.344349476820456,0.0,5.1,77.231,0.297
36,2194580111.0,2.46375188572298,9.29,12.189,8.60697066436161,1.41728285775552,16.11809565095832,0.423,0.853,7.9427281977106095,6.61,24.030895233154297,7.344349476820456,0.0,5.1,77.231,0.297
37,2194580111.0,2.46375188572298,9.29,12.189,8.60697066436161,1.41728285775552,16.11809565095832,0.423,0.853,7.9427281977106095,6.61,24.030895233154297,7.344349476820456,0.0,5.1,77.231,0.297
38,2194580111.0,2.46375188572298,9.29,12.189,8.60697066436161,1.41728285775552,16.11809565095832,0.423,0.853,7.9427281977106095,6.61,24.030895233154297,7.344349476820456,0.0,5.1,77.231,0.297
39,2194580111.0,2.46375188572298,9.29,12.189,8.60697066436161,1.41728285775552,16.11809565095832,0.423,0.853,7.9427281977106095,6.61,24.030895233154297,7.344349476820456,0.0,5.1,77.231,0.297
40,2194580111.0,2.46375188572298,9.29,12.189,8.60697066436161,1.41728285775552,16.11809565095832,0.423,0.853,7.9427281977106095,6.61,24.030895233154297,7.344349476820456,0.0,5.1,77.231,0.297
41,2194580111.0,2.46375188572298,9.29,12.189,8.60697066436161,1.41728285775552,16.11809565095832,0.423,0.853,7.9427281977106095,6.61,24.030895233154297,7.344349476820456,0.0,5.1,77.231,0.297
42,208740000.0,45.5258978371706,12.2,11.104,7.42709539543966,8.7711241134394,14.508657738524219,0.105,0.799,10.149210617125402,5.2,3.136361122131348,6.991038883118875,0.0,7.3,76.4,1.51
43,386423097229.7,5.92525137041095,4.19999980926514,7.06,9.71486207089171,1.71233436060411,21.316040043359568,0.056,0.472,14.028436559445504,1.62,98.95057678222656,11.8574235864118,0.0,5.7,97.053,1.172
44,18503086016.3,7.04661816222037,4.25,6.425,0.985276088782365,1.09089436952842,16.11809565095832,0.24,0.854,10.260141266249502,2.69,44.22999954223633,9.608413426048696,0.0,3.8,99.3,2.081
45,18503086016.3,7.04661816222037,4.25,6.425,0.985276088782365,1.09089436952842,16.11809565095832,0.24,0.854,10.260141266249502,2.69,44.22999954223633,9.608413426048696,0.0,3.8,99.3,2.081
46,28376713498.2,15.8096321719345,2.33,6.439,5.49411085590297,0.578180787195687,18.119575651168443,0.175,0.481,10.123350929957327,4.15,48.06359100341797,9.3779438979765,0.0,4.5,92.875,1.992
47,75052145049.5,3.76511916356584,3.78,7.036,0.855531326817237,3.59474546951394,20.545334628453748,0.237,0.818,11.46577941150978,3.61,71.55022430419922,9.98488074789053,0.0,2.5,85.1,0.999
48,75052145049.5,3.76511916356584,3.78,7.036,0.855531326817237,3.59474546951394,20.545334628453748,0.237,0.818,11.46577941150978,3.61,71.55022430419922,9.98488074789053,0.0,2.5,85.1,0.999
49,75052145049.5,3.76511916356584,3.78,7.036,0.855531326817237,3.59474546951394,20.545334628453748,0.237,0.818,11.46577941150978,3.61,71.55022430419922,9.98488074789053,0.0,2.5,85.1,0.999
50,75052145049.5,3.76511916356584,3.78,7.036,0.855531326817237,3.59474546951394,20.545334628453748,0.237,0.818,11.46577941150978,3.61,71.55022430419922,9.98488074789053,0.0,2.5,85.1,0.999
51,75052145049.5,3.76511916356584,3.78,7.036,0.855531326817237,3.59474546951394,20.545334628453748,0.237,0.818,11.46577941150978,3.61,71.55022430419922,9.98488074789053,0.0,2.5,85.1,0.999
52,9133608406.4,35.7225982298716,3.08,18.88,11.2321022647339,5.70513154467309,18.197537192638155,0.078,0.535,8.224837280243552,7.19,0.0,8.56279504021039,0.0,1.3,89.429,1.805
53,5484154972.0,32.2720382866416,0.76,11.31,1.88020257088527,3.17100459309858,19.262247929630583,0.1,0.8,6.333279628139691,3.3,35.0,8.31090675716845,0.0,0.3,0.0,0.0
54,5484154972.0,32.2720382866416,0.76,11.31,1.88020257088527,3.17100459309858,19.262247929630583,0.1,0.8,6.333279628139691,3.3,35.0,8.31090675716845,0.0,0.3,0.0,0.0
55,5484154972.0,32.2720382866416,0.76,11.31,1.88020257088527,3.17100459309858,19.262247929630583,0.1,0.8,6.333279628139691,3.3,35.0,8.31090675716845,0.0,0.3,0.0,0.0
56,5484154972.0,32.2720382866416,0.76,11.31,1.88020257088527,3.17100459309858,19.262247929630583,0.1,0.8,6.333279628139691,3.3,35.0,8.31090675716845,0.0,0.3,0.0,0.0
57,5484154972.0,32.2720382866416,0.76,11.31,1.88020257088527,3.17100459309858,19.262247929630583,0.1,0.8,6.333279628139691,3.3,35.0,8.31090675716845,0.0,0.3,0.0,0.0
58,5484154972.0,32.2720382866416,0.76,11.31,1.88020257088527,3.17100459309858,19.262247929630583,0.1,0.8,6.333279628139691,3.3,35.0,8.31090675716845,0.0,0.3,0.0,0.0
59,5484154972.0,32.2720382866416,0.76,11.31,1.88020257088527,3.17100459309858,19.262247929630583,0.1,0.8,6.333279628139691,3.3,35.0,8.31090675716845,0.0,0.3,0.0,0.0
60,0.0,2.10501231233614,3.16000008583069,4.945,8.75724806356331,1.49929579850642,18.159315979817958,0.205,0.572,11.134980188611474,2.09,99.6044464111328,8.053946840256154,0.0,10.0,97.833,0.295
61,4748208496.5,36.7022953364139,8.81,6.417,13.8718176639329,4.1,20.061617323445837,0.15,0.8,7.67693714581808,3.1,90.8,7.72356247227797,0.0,6.3,0.0,0.0
62,4748208496.5,36.7022953364139,8.81,6.417,13.8718176639329,4.1,20.061617323445837,0.15,0.8,7.67693714581808,3.1,90.8,7.72356247227797,0.0,6.3,0.0,0.0
63,4748208496.5,36.7022953364139,8.81,6.417,13.8718176639329,4.1,20.061617323445837,0.15,0.8,7.67693714581808,3.1,90.8,7.72356247227797,0.0,6.3,0.0,0.0
64,4748208496.5,36.7022953364139,8.81,6.417,13.8718176639329,4.1,20.061617323445837,0.15,0.8,7.67693714581808,3.1,90.8,7.72356247227797,0.0,6.3,0.0,0.0
65,5558434812.7,3.7,18.85,11.444,13.4014161781294,1.2,0.0,0.102,0.915,7.892310830711295,6.07,50.76497650146485,7.354203008709334,0.0,0.01,48.0,2.715
66,5773699803.6,18.0141183371874,12.1899995803833,4.715,36.0426424158871,2.45625050479328,15.201804919084164,0.2,0.72,9.508368736482108,1.6,100.0,9.055089086704891,0.0,4.2,0.0,0.0
67,5773699803.6,18.0141183371874,12.1899995803833,4.715,36.0426424158871,2.45625050479328,15.201804919084164,0.2,0.72,9.508368736482108,1.6,100.0,9.055089086704891,0.0,4.2,0.0,0.0
68,5773699803.6,18.0141183371874,12.1899995803833,4.715,36.0426424158871,2.45625050479328,15.201804919084164,0.2,0.72,9.508368736482108,1.6,100.0,9.055089086704891,0.0,4.2,0.0,0.0
69,5773699803.6,18.0141183371874,12.1899995803833,4.715,36.0426424158871,2.45625050479328,15.201804919084164,0.2,0.72,9.508368736482108,1.6,100.0,9.055089086704891,0.0,4.2,0.0,0.0
70,4326265942.7,1.75985742927153,7.40999984741211,9.637,7.81614326291769,3.02663551651214,17.24949776244942,0.338,0.806,8.386545408618286,5.97,34.779998779296875,7.575135832905049,0.0,5.8,70.0,1.574
71,4326265942.7,1.75985742927153,7.40999984741211,9.637,7.81614326291769,3.02663551651214,17.24949776244942,0.338,0.806,8.386545408618286,5.97,34.779998779296875,7.575135832905049,0.0,5.8,70.0,1.574
72,4326265942.7,1.75985742927153,7.40999984741211,9.637,7.81614326291769,3.02663551651214,17.24949776244942,0.338,0.806,8.386545408618286,5.97,34.779998779296875,7.575135832905049,0.0,5.8,70.0,1.574
73,4326265942.7,1.75985742927153,7.40999984741211,9.637,7.81614326291769,3.02663551651214,17.24949776244942,0.338,0.806,8.386545408618286,5.97,34.779998779296875,7.575135832905049,0.0,5.8,70.0,1.574
74,4326265942.7,1.75985742927153,7.40999984741211,9.637,7.81614326291769,3.02663551651214,17.24949776244942,0.338,0.806,8.386545408618286,5.97,34.779998779296875,7.575135832905049,0.0,5.8,70.0,1.574
75,4765860589.2,200.0,8.83,7.696,12.4321481390096,4.1,20.04204722725174,0.14,0.0,7.048386408721883,3.0,90.2,7.673223121121708,0.0,6.5,0.0,0.0
76,4765860589.2,200.0,8.83,7.696,12.4321481390096,4.1,20.04204722725174,0.14,0.0,7.048386408721883,3.0,90.2,7.673223121121708,0.0,6.5,0.0,0.0
77,4765860589.2,200.0,8.83,7.696,12.4321481390096,4.1,20.04204722725174,0.14,0.0,7.048386408721883,3.0,90.2,7.673223121121708,0.0,6.5,0.0,0.0
78,4765860589.2,200.0,8.83,7.696,12.4321481390096,4.1,20.04204722725174,0.14,0.0,7.048386408721883,3.0,90.2,7.673223121121708,0.0,6.5,0.0,0.0
79,4765860589.2,200.0,8.83,7.696,12.4321481390096,4.1,20.04204722725174,0.14,0.0,7.048386408721883,3.0,90.2,7.673223121121708,0.0,6.5,0.0,0.0
80,4765860589.2,200.0,8.83,7.696,12.4321481390096,4.1,20.04204722725174,0.14,0.0,7.048386408721883,3.0,90.2,7.673223121121708,0.0,6.5,0.0,0.0
81,4765860589.2,200.0,8.83,7.696,12.4321481390096,4.1,20.04204722725174,0.14,0.0,7.048386408721883,3.0,90.2,7.673223121121708,0.0,6.5,0.0,0.0
82,4765860589.2,200.0,8.83,7.696,12.4321481390096,4.1,20.04204722725174,0.14,0.0,7.048386408721883,3.0,90.2,7.673223121121708,0.0,6.5,0.0,0.0
83,4765860589.2,200.0,8.83,7.696,12.4321481390096,4.1,20.04204722725174,0.14,0.0,7.048386408721883,3.0,90.2,7.673223121121708,0.0,6.5,0.0,0.0
84,3747044962.9,1.45069057605958,7.73000001907349,10.211,7.4271100051454,2.36016226686091,0.0,0.372,0.779,8.232321300037636,6.14,37.59999847412109,7.524222258966552,0.0,6.4,74.273,1.574
85,10073207229.5,0.64267352185089,0.0,8.594,6.40469692102559,1.17379348253472,15.89495209964411,0.136,0.918,8.952410222275557,4.64,61.03086471557617,7.882581675850321,0.0,4.2,90.875,1.299
86,10073207229.5,0.64267352185089,0.0,8.594,6.40469692102559,1.17379348253472,15.89495209964411,0.136,0.918,8.952410222275557,4.64,61.03086471557617,7.882581675850321,0.0,4.2,90.875,1.299
87,10073207229.5,0.64267352185089,0.0,8.594,6.40469692102559,1.17379348253472,15.89495209964411,0.136,0.918,8.952410222275557,4.64,61.03086471557617,7.882581675850321,0.0,4.2,90.875,1.299
88,10073207229.5,0.64267352185089,0.0,8.594,6.40469692102559,1.17379348253472,15.89495209964411,0.136,0.918,8.952410222275557,4.64,61.03086471557617,7.882581675850321,0.0,4.2,90.875,1.299
89,10073207229.5,0.64267352185089,0.0,8.594,6.40469692102559,1.17379348253472,15.89495209964411,0.136,0.918,8.952410222275557,4.64,61.03086471557617,7.882581675850321,0.0,4.2,90.875,1.299
90,3074719048.7,8.64,4.55,14.804,12.3846874433469,1.53463751403247,16.70588231586044,0.103,0.925,7.449689959035357,6.08,15.146257400512695,6.8012318651980905,0.0,3.1,89.667,0.227
91,3074719048.7,8.64,4.55,14.804,12.3846874433469,1.53463751403247,16.70588231586044,0.103,0.925,7.449689959035357,6.08,15.146257400512695,6.8012318651980905,0.0,3.1,89.667,0.227
92,2596917266.2,-0.661709164713696,11.3,7.331,0.514492082955642,0.994575822723645,18.56910074907064,0.231,0.893,8.740784642408409,4.98,71.5,8.177363846005894,0.0,4.9,58.636,2.907
93,2596917266.2,-0.661709164713696,11.3,7.331,0.514492082955642,0.994575822723645,18.56910074907064,0.231,0.893,8.740784642408409,4.98,71.5,8.177363846005894,0.0,4.9,58.636,2.907
94,2596917266.2,-0.661709164713696,11.3,7.331,0.514492082955642,0.994575822723645,18.56910074907064,0.231,0.893,8.740784642408409,4.98,71.5,8.177363846005894,0.0,4.9,58.636,2.907
95,2596917266.2,-0.661709164713696,11.3,7.331,0.514492082955642,0.994575822723645,18.56910074907064,0.231,0.893,8.740784642408409,4.98,71.5,8.177363846005894,0.0,4.9,58.636,2.907
96,2596917266.2,-0.661709164713696,11.3,7.331,0.514492082955642,0.994575822723645,18.56910074907064,0.231,0.893,8.740784642408409,4.98,71.5,8.177363846005894,0.0,4.9,58.636,2.907
97,2596917266.2,-0.661709164713696,11.3,7.331,0.514492082955642,0.994575822723645,18.56910074907064,0.231,0.893,8.740784642408409,4.98,71.5,8.177363846005894,0.0,4.9,58.636,2.907
98,2596917266.2,-0.661709164713696,11.3,7.331,0.514492082955642,0.994575822723645,18.56910074907064,0.231,0.893,8.740784642408409,4.98,71.5,8.177363846005894,0.0,4.9,58.636,2.907
99,7304904667.0,2.68598277212217,0.0,9.179,5.86322500828741,1.14443329649881,16.012735135300492,0.161,0.936,8.851674590491966,4.78,58.5955924987793,7.8318732975660605,0.0,4.9,95.4,0.96
100,7304904667.0,2.68598277212217,0.0,9.179,5.86322500828741,1.14443329649881,16.012735135300492,0.161,0.936,8.851674590491966,4.78,58.5955924987793,7.8318732975660605,0.0,4.9,95.4,0.96
101,7304904667.0,2.68598277212217,0.0,9.179,5.86322500828741,1.14443329649881,16.012735135300492,0.161,0.936,8.851674590491966,4.78,58.5955924987793,7.8318732975660605,0.0,4.9,95.4,0.96
102,7304904667.0,2.68598277212217,0.0,9.179,5.86322500828741,1.14443329649881,16.012735135300492,0.161,0.936,8.851674590491966,4.78,58.5955924987793,7.8318732975660605,0.0,4.9,95.4,0.96
103,2799378941.3,4.3771266506566,1.07,13.693,13.2002505902492,2.0188218544744,13.815510557964274,0.095,0.966,7.991920036199282,6.05,7.699999809265137,7.292673402829201,0.0,5.2,79.286,1.736
104,2799378941.3,4.3771266506566,1.07,13.693,13.2002505902492,2.0188218544744,13.815510557964274,0.095,0.966,7.991920036199282,6.05,7.699999809265137,7.292673402829201,0.0,5.2,79.286,1.736
105,2799378941.3,4.3771266506566,1.07,13.693,13.2002505902492,2.0188218544744,13.815510557964274,0.095,0.966,7.991920036199282,6.05,7.699999809265137,7.292673402829201,0.0,5.2,79.286,1.736
106,2799378941.3,4.3771266506566,1.07,13.693,13.2002505902492,2.0188218544744,13.815510557964274,0.095,0.966,7.991920036199282,6.05,7.699999809265137,7.292673402829201,0.0,5.2,79.286,1.736
107,2799378941.3,4.3771266506566,1.07,13.693,13.2002505902492,2.0188218544744,13.815510557964274,0.095,0.966,7.991920036199282,6.05,7.699999809265137,7.292673402829201,0.0,5.2,79.286,1.736
